event.id,visible,timestamp,location.long,location.lat,algorithm.marked.outlier,gps:hdop,manually.marked.outlier,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name
37385141577,true,2024.10.03 01:36:00.000,76.63964,11.57584,,0.76,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141579,true,2024.10.03 01:40:00.000,76.63953,11.57584,,1.19,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141581,true,2024.10.03 01:45:00.000,76.63959,11.57575,,1.46,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141583,true,2024.10.03 01:50:00.000,76.63944,11.57486,,1.15,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141585,true,2024.10.03 01:55:00.000,76.63943,11.57431,,1.41,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141587,true,2024.10.03 02:00:00.000,76.63931,11.57408,,1.41,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141589,true,2024.10.03 02:05:00.000,76.63935,11.57426,,0.99,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141591,true,2024.10.03 02:10:00.000,76.63935,11.57417,,0.89,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141593,true,2024.10.03 02:15:00.000,76.63937,11.57412,,0.92,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141595,true,2024.10.03 02:20:00.000,76.63926,11.57416,,1.32,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141598,true,2024.10.03 02:25:00.000,76.63948,11.57423,,0.89,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141600,true,2024.10.03 02:30:00.000,76.6394,11.57418,,1.3,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141615,true,2024.10.03 03:36:00.000,76.63935,11.57433,,1.16,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141617,true,2024.10.03 03:41:00.000,76.63937,11.5738,,1.83,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141619,true,2024.10.03 03:46:00.000,76.63959,11.57418,,1.47,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141621,true,2024.10.03 03:51:00.000,76.63944,11.57417,,1.44,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141623,true,2024.10.03 03:56:00.000,76.63944,11.57384,,2.24,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141625,true,2024.10.03 04:01:00.000,76.6395,11.57407,,2.87,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141627,true,2024.10.03 04:06:00.000,76.63951,11.5741,,1.42,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141629,true,2024.10.03 04:11:00.000,76.63956,11.57407,,1.72,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141631,true,2024.10.03 04:16:00.000,76.63927,11.57347,,2.92,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141633,true,2024.10.03 04:21:00.000,76.63969,11.5743,,1.47,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141636,true,2024.10.03 04:26:00.000,76.63964,11.57356,,1.54,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141638,true,2024.10.03 04:31:00.000,76.63959,11.57394,,1.49,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141640,true,2024.10.03 04:36:00.000,76.63953,11.57382,,1.22,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141641,true,2024.10.03 04:40:00.000,76.63923,11.57393,,0.93,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141642,true,2024.10.03 04:46:00.000,76.63957,11.574,,1.23,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141643,true,2024.10.03 04:50:00.000,76.63926,11.5739,,1.02,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141644,true,2024.10.03 04:55:00.000,76.6392,11.57397,,0.83,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141645,true,2024.10.03 05:00:00.000,76.63918,11.57394,,0.83,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
37385141712,true,2024.10.04 00:33:00.000,76.63949,11.57385,,0.87,,"gps","Canidae","10340","Pied","Free.ranging dogs . vksanj . Mudumalai TR . GPS collaring"
